Unique ID,Title,Source,,Owner,Status,Proposed URL
1,Sushi Info,http://voices.yahoo.com/what-sushi-information-sushi-its-origins-193237.html?cat=22,About Sushi,Sarah,Needs editing,/about/sushi
2,History,http://en.wikipedia.org/wiki/History_of_sushi,About Sushi,Sarah,Needs editing,/about/history
3,Chirashizushi,http://www.yale.edu/macmillan/pier/resources/lessons/chirashizushi.htm,Types of Sushi,Sarah,Needs editing,/types/chirashzushi
4,Inarizushi,http://www.japanesecooking101.com/inarizushi-inari-sushi-recipe/,Types of Sushi,Sarah,Needs editing,/types/inarizushi
5,Makizushi,http://japanesefood.about.com/cs/video/g/g_makizushi.htm,Types of Sushi,Sarah,Needs editing,/types/makizushi
6,Narezushi,http://sushinotjunk.weebly.com/narezushi.html,Types of Sushi,Sarah,Needs editing,/types/narezushi
7,Nigrizushi,http://japanesefood.about.com/od/sushi/a/aboutnigiri.htm,Types of Sushi,Sarah,Needs editing,/types/nigrizushi
8,Oshizushi,http://www.japancentre.com/recipes/oshizushi-pressed-sushi,Types of Sushi,Sarah,Needs editing,/types/oshizushi
9,Western Style Sushi,http://www.sheknows.ca/food/articles/950865/sushi-101-the-most-popular-types,Types of Sushi,Sarah,Needs editing,/types/western-style-sushi
10,Sushi-meshi,http://japaneserecipes.wikia.com/wiki/Sushi_meshi,Ingredients,Sarah,Needs editing,/ingredients/sushi-mesi
11,Nori,http://en.wikipedia.org/wiki/Nori,Ingredients,Sarah,Needs editing,/ingredients/nori
12,Neta,http://en.wikipedia.org/wiki/Sushi#Neta,Ingredients,Sarah,Needs editing,/ingredients/neta
13,Condiments,http://en.wikipedia.org/wiki/Sushi#Condiments,Ingredients,Sarah,Needs editing,/ingredients/condiments
14,Health Risks,http://chealth.canoe.ca/channel_section_details.asp?text_id=4496&channel_id=44&relation_id=48473,Health & Nutrition,Sarah,Needs editing,/health-nutrition/health-risks
15,Nutrition,http://www.sushiencyclopedia.com/sushi_nutrition_facts.html,Health & Nutrition,Sarah,Needs editing,/health-nutrition/nutrition
16,Making sushi,http://makemysushi.com,Making Sushi,Sarah,Needs editing,/making-sushi/sushi
17,Making hand roll,http://www.sushiencyclopedia.com/how_to_make_sushi/how_to_make_sushi_rolls/how_to_make_hand_rolls.html,Making Sushi,Sarah,Needs editing,/making-sushi/hand-rolls
